Bulbasaur,bulbasaur
Aipom,aipom
Sunkern,sunkern
Sunflora,sunflora
Yanma,yanma
Wooper,wooper
Quagsire,quagsire
Espeon,espeon
Umbreon,umbreon
Murkrow,murkrow
Slowking,slowking
Misdreavus,misdreavus
Unown,unown
Wobbuffet,wobbuffet
Girafarig,girafarig
Pineco,pineco
Forretress,forretress
Dunsparce,dunsparce
Gligar,gligar
Steelix,steelix
Snubbull,snubbull
Granbull,granbull
Qwilfish,qwilfish
Scizor,scizor
Shuckle,shuckle
Heracross,heracross
Sneasel,sneasel
Teddiursa,teddiursa
Ursaring,ursaring
Slugma,slugma
Magcargo,magcargo
Swinub,swinub
Piloswine,piloswine
Corsola,corsola
Remoraid,remoraid
Octillery,octillery
Delibird,delibird
Mantine,mantine
Skarmory,skarmory
Houndour,houndour
Houndoom,houndoom
Kingdra,kingdra
Phanpy,phanpy
Donphan,donphan
Porygon2,porygon2
Stantler,stantler
Smeargle,smeargle
Tyrogue,tyrogue
Hitmontop,hitmontop
Smoochum,smoochum
Elekid,elekid
Magby,magby
Miltank,miltank
Blissey,blissey
Raikou,raikou
Entei,entei
Suicune,suicune
Larvitar,larvitar
Pupitar,pupitar
Tyranitar,tyranitar
Lugia,lugia
Ho-oh,ho-oh
Celebi,celebi
Treecko,treecko
Grovyle,grovyle
Sceptile,sceptile
Torchic,torchic
Combusken,combusken
Blaziken,blaziken
Mudkip,mudkip
Marshtomp,marshtomp
Swampert,swampert
Poochyena,poochyena
Mightyena,mightyena
Zigzagoon,zigzagoon
Linoone,linoone
Wurmple,wurmple
Silcoon,silcoon
Beautifly,beautifly
Cascoon,cascoon
Dustox,dustox
Lotad,lotad
Lombre,lombre
Ludicolo,ludicolo
Seedot,seedot
Nuzleaf,nuzleaf
Shiftry,shiftry
Taillow,taillow
Swellow,swellow
Wingull,wingull
Pelipper,pelipper
Ralts,ralts
Kirlia,kirlia
Gardevoir,gardevoir
Surskit,surskit
Masquerain,masquerain
Shroomish,shroomish
Breloom,breloom
Slakoth,slakoth
Vigoroth,vigoroth
Slaking,slaking
Nincada,nincada
Ninjask,ninjask
Shedinja,shedinja
Whismur,whismur
Loudred,loudred
Exploud,exploud
Makuhita,makuhita
Hariyama,hariyama
Azurill,azurill
Nosepass,nosepass
Skitty,skitty
Delcatty,delcatty
Sableye,sableye
Mawile,mawile
Aron,aron
Lairon,lairon
Aggron,aggron
Meditite,meditite
Medicham,medicham
Electrike,electrike
Manectric,manectric
Plusle,plusle
Minun,minun
Volbeat,volbeat
Illumise,illumise
Roselia,roselia
Gulpin,gulpin
Swalot,swalot
Carvanha,carvanha
Sharpedo,sharpedo
Wailmer,wailmer
Wailord,wailord
Numel,numel
Camerupt,camerupt
Torkoal,torkoal
Spoink,spoink
Grumpig,grumpig
Spinda,spinda
Trapinch,trapinch
Vibrava,vibrava
Flygon,flygon
Cacnea,cacnea
Cacturne,cacturne
Swablu,swablu
Altaria,altaria
Zangoose,zangoose
Seviper,seviper
Lunatone,lunatone
Solrock,solrock
Barboach,barboach
Whiscash,whiscash
Corphish,corphish
Crawdaunt,crawdaunt
Baltoy,baltoy
Claydol,claydol
Lileep,lileep
Cradily,cradily
Anorith,anorith
Armaldo,armaldo
Feebas,feebas
Milotic,milotic
Castform,castform
Kecleon,kecleon
Shuppet,shuppet
Banette,banette
Duskull,duskull
Dusclops,dusclops
Tropius,tropius
Chimecho,chimecho
Absol,absol
Wynaut,wynaut
Snorunt,snorunt
Glalie,glalie
Spheal,spheal
Sealeo,sealeo
Walrein,walrein
Clamperl,clamperl
Huntail,huntail
Gorebyss,gorebyss
Relicanth,relicanth
Luvdisc,luvdisc
Bagon,bagon
Shelgon,shelgon
Salamence,salamence
Beldum,beldum
Metang,metang
Metagross,metagross
Regirock,regirock
Regice,regice
Registeel,registeel
Latias,latias
Latios,latios
Kyogre,kyogre
Groudon,groudon
Rayquaza,rayquaza
Jirachi,jirachi
Deoxys,deoxys
Turtwig,turtwig
Grotle,grotle
Torterra,torterra
Chimchar,chimchar
Monferno,monferno
Infernape,infernape
Piplup,piplup
Prinplup,prinplup
Empoleon,empoleon
Starly,starly
Staravia,staravia
Staraptor,staraptor
Bidoof,bidoof
Bibarel,bibarel
Kricketot,kricketot
Kricketune,kricketune
Shinx,shinx
Luxio,luxio
Luxray,luxray
Budew,budew
Roserade,roserade
Cranidos,cranidos
Rampardos,rampardos
Shieldon,shieldon
Bastiodon,bastiodon
Burmy,burmy
Wormadam,wormadam
Mothim,mothim
Combee,combee
Vespiquen,vespiquen
Pachirisu,pachirisu
Buizel,buizel
Floatzel,floatzel
Cherubi,cherubi
Cherrim,cherrim
Shellos,shellos
Gastrodon,gastrodon
Ambipom,ambipom
Drifloon,drifloon
Drifblim,drifblim
Buneary,buneary
Lopunny,lopunny
Mismagius,mismagius
Honchkrow,honchkrow
Glameow,glameow
Purugly,purugly
Chingling,chingling
Stunky,stunky
Skuntank,skuntank
Bronzor,bronzor
Bronzong,bronzong
Bonsly,bonsly
Mime Jr,mime-jr
Happiny,happiny
Chatot,chatot
Spiritomb,spiritomb
Gible,gible
Gabite,gabite
Garchomp,garchomp
Munchlax,munchlax
Riolu,riolu
Lucario,lucario
Hippopotas,hippopotas
Hippowdon,hippowdon
Skorupi,skorupi
Drapion,drapion
Croagunk,croagunk
Toxicroak,toxicroak
Carnivine,carnivine
Finneon,finneon
Lumineon,lumineon
Mantyke,mantyke
Snover,snover
Abomasnow,abomasnow
Weavile,weavile
Magnezone,magnezone
Lickilicky,lickilicky
Rhyperior,rhyperior
Tangrowth,tangrowth
Electivire,electivire
Magmortar,magmortar
Togekiss,togekiss
Yanmega,yanmega
Leafeon,leafeon
Glaceon,glaceon
Gliscor,gliscor
Mamoswine,mamoswine
Porygon-Z,porygon-z
Gallade,gallade
Probopass,probopass
Dusknoir,dusknoir
Froslass,froslass
Rotom,rotom
Uxie,uxie
Mesprit,mesprit
Azelf,azelf
Dialga,dialga
Palkia,palkia
Heatran,heatran
Regigigas,regigigas
Giratina,giratina
Cresselia,cresselia
Phione,phione
Manaphy,manaphy
Darkrai,darkrai
Shaymin,shaymin
Arceus,arceus
Victini,victini
Snivy,snivy
Servine,servine
Serperior,serperior
Tepig,tepig
Pignite,pignite
Emboar,emboar
Oshawott,oshawott
Dewott,dewott
Samurott,samurott
Patrat,patrat
Watchog,watchog
Lillipup,lillipup
Herdier,herdier
Stoutland,stoutland
Purrloin,purrloin
Liepard,liepard
Pansage,pansage
Simisage,simisage
Pansear,pansear
Simisear,simisear
Panpour,panpour
Simipour,simipour
Munna,munna
Musharna,musharna
Pidove,pidove
Tranquill,tranquill
Unfezant,unfezant
Blitzle,blitzle
Zebstrika,zebstrika
Roggenrola,roggenrola
Boldore,boldore
Gigalith,gigalith
Woobat,woobat
Swoobat,swoobat
Drilbur,drilbur
Excadrill,excadrill
Audino,audino
Timburr,timburr
Gurdurr,gurdurr
Conkeldurr,conkeldurr
Tympole,tympole
Palpitoad,palpitoad
Seismitoad,seismitoad
Throh,throh
Sawk,sawk
Sewaddle,sewaddle
Swadloon,swadloon
Leavanny,leavanny
Venipede,venipede
Whirlipede,whirlipede
Scolipede,scolipede
Cottonee,cottonee
Whimsicott,whimsicott
Petilil,petilil
Lilligant,lilligant
Basculin,basculin
Sandile,sandile
Krokorok,krokorok
Krookodile,krookodile
Darumaka,darumaka
Darmanitan,darmanitan
Maractus,maractus
Dwebble,dwebble
Crustle,crustle
Scraggy,scraggy
Scrafty,scrafty
Sigilyph,sigilyph
Yamask,yamask
Cofagrigus,cofagrigus
Tirtouga,tirtouga
Carracosta,carracosta
Archen,archen
Archeops,archeops
Trubbish,trubbish
Garbodor,garbodor
Zorua,zorua
Zoroark,zoroark
Minccino,minccino
Cinccino,cinccino
Gothita,gothita
Gothorita,gothorita
Gothitelle,gothitelle
Solosis,solosis
Duosion,duosion
Reuniclus,reuniclus
Ducklett,ducklett
Swanna,swanna
Vanillite,vanillite
Vanillish,vanillish
Vanilluxe,vanilluxe
Deerling,deerling
Sawsbuck,sawsbuck
Emolga,emolga
Karrablast,karrablast
Escavalier,escavalier
Foongus,foongus
Amoonguss,amoonguss
Frillish,frillish
Jellicent,jellicent
Alomomola,alomomola
Joltik,joltik
Galvantula,galvantula
Ferroseed,ferroseed
Ferrothorn,ferrothorn
Klink,klink
Klang,klang
Klinklang,klinklang
Tynamo,tynamo
Eelektrik,eelektrik
Eelektross,eelektross
Elgyem,elgyem
Beheeyem,beheeyem
Litwick,litwick
Lampent,lampent
Chandelure,chandelure
Axew,axew
Fraxure,fraxure
Haxorus,haxorus
Cubchoo,cubchoo
Beartic,beartic
Cryogonal,cryogonal
Shelmet,shelmet
Accelgor,accelgor
Stunfisk,stunfisk
Mienfoo,mienfoo
Mienshao,mienshao
Druddigon,druddigon
Golett,golett
Golurk,golurk
Pawniard,pawniard
Bisharp,bisharp
Bouffalant,bouffalant
Rufflet,rufflet
Braviary,braviary
Vullaby,vullaby
Mandibuzz,mandibuzz
Heatmor,heatmor
Durant,durant
Deino,deino
Zweilous,zweilous
Hydreigon,hydreigon
Larvesta,larvesta
Volcarona,volcarona
Cobalion,cobalion
Terrakion,terrakion
Virizion,virizion
Tornadus,tornadus
Thundurus,thundurus
Reshiram,reshiram
Zekrom,zekrom
Landorus,landorus
Kyurem,kyurem
Keldeo,keldeo
Meloetta,meloetta
Genesect,genesect
Chespin,chespin
Quilladin,quilladin
Chesnaught,chesnaught
Fennekin,fennekin
Braixen,braixen
Delphox,delphox
Froakie,froakie
Frogadier,frogadier
Greninja,greninja
Bunnelby,bunnelby
Diggersby,diggersby
Fletchling,fletchling
Fletchinder,fletchinder
Talonflame,talonflame
Scatterbug,scatterbug
Spewpa,spewpa
Vivillon,vivillon
Litleo,litleo
Pyroar,pyroar
Flabebe,flabebe
Floette,floette
Florges,florges
Skiddo,skiddo
Gogoat,gogoat
Pancham,pancham
Pangoro,pangoro
Furfrou,furfrou
Espurr,espurr
Meowstic,meowstic
Honedge,honedge
Doublade,doublade
Aegislash,aegislash
Spritzee,spritzee
Aromatisse,aromatisse
Swirlix,swirlix
Slurpuff,slurpuff
Inkay,inkay
Malamar,malamar
Binacle,binacle
Barbaracle,barbaracle
Skrelp,skrelp
Dragalge,dragalge
Clauncher,clauncher
Clawitzer,clawitzer
Helioptile,helioptile
Heliolisk,heliolisk
Tyrunt,tyrunt
Tyrantrum,tyrantrum
Amaura,amaura
Aurorus,aurorus
Sylveon,sylveon
Hawlucha,hawlucha
Dedenne,dedenne
Carbink,carbink
Goomy,goomy
Sliggoo,sliggoo
Goodra,goodra
Klefki,klefki
Phantump,phantump
Trevenant,trevenant
Pumpkaboo,pumpkaboo
Gourgeist,gourgeist
Bergmite,bergmite
Avalugg,avalugg
Noibat,noibat
Noivern,noivern
Xerneas,xerneas
Yveltal,yveltal
Zygarde,zygarde
Diancie,diancie
Hoopa,hoopa
Volcanion,volcanion
Rowlet,rowlet
Dartrix,dartrix
Decidueye,decidueye
Litten,litten
Torracat,torracat
Incineroar,incineroar
Popplio,popplio
Brionne,brionne
Primarina,primarina
Pikipek,pikipek
Trumbeak,trumbeak
Toucannon,toucannon
Yungoos,yungoos
Gumshoos,gumshoos
Grubbin,grubbin
Charjabug,charjabug
Vikavolt,vikavolt
Crabrawler,crabrawler
Crabominable,crabominable
Oricorio,oricorio
Cutiefly,cutiefly
Ribombee,ribombee
Rockruff,rockruff
Lycanroc,lycanroc
Wishiwashi,wishiwashi
Mareanie,mareanie
Toxapex,toxapex
Mudbray,mudbray
Mudsdale,mudsdale
Dewpider,dewpider
Araquanid,araquanid
Fomantis,fomantis
Lurantis,lurantis
Morelull,morelull
Shiinotic,shiinotic
Salandit,salandit
Salazzle,salazzle
Stufful,stufful
Bewear,bewear
Bounsweet,bounsweet
Steenee,steenee
Tsareena,tsareena
Comfey,comfey
Oranguru,oranguru
Passimian,passimian
Wimpod,wimpod
Golisopod,golisopod
Sandygast,sandygast
Palossand,palossand
Pyukumuku,pyukumuku
Type: Null,type-null
Silvally,silvally
Minior,minior
Komala,komala
Turtonator,turtonator
Togedemaru,togedemaru
Mimikyu,mimikyu
Bruxish,bruxish
Drampa,drampa
Dhelmise,dhelmise
Jangmo-o,jangmo-o
Hakamo-o,hakamo-o
Kommo-o,kommo-o
Tapu Koko,tapu-koko
Tapu Lele,tapu-lele
Tapu Bulu,tapu-bulu
Tapu Fini,tapu-fini
Cosmog,cosmog
Cosmoem,cosmoem
Solgaleo,solgaleo
Lunala,lunala
Nihilego,nihilego
Buzzwole,buzzwole
Pheromosa,pheromosa
Xurkitree,xurkitree
Celesteela,celesteela
Kartana,kartana
Guzzlord,guzzlord
Necrozma,necrozma
Magearna,magearna
Marshadow,marshadow
Poipole,poipole
Naganadel,naganadel
Stakataka,stakataka
Blacephalon,blacephalon
Zeraora,zeraora
Meltan,meltan
Melmetal,melmetal
Grookey,grookey
Thwackey,thwackey
Rillaboom,rillaboom
Scorbunny,scorbunny
Raboot,raboot
Cinderace,cinderace
Sobble,sobble
Drizzile,drizzile
Inteleon,inteleon
Skwovet,skwovet
Greedent,greedent
Rookidee,rookidee
Corvisquire,corvisquire
Corviknight,corviknight
Blipbug,blipbug
Dottler,dottler
Orbeetle,orbeetle
Nickit,nickit
Thievul,thievul
Gossifleur,gossifleur
Eldegoss,eldegoss
Wooloo,wooloo
Dubwool,dubwool
Chewtle,chewtle
Drednaw,drednaw
Yamper,yamper
Boltund,boltund
Rolycoly,rolycoly
Carkol,carkol
Coalossal,coalossal
Applin,applin
Flapple,flapple
Appletun,appletun
Silicobra,silicobra
Sandaconda,sandaconda
Cramorant,cramorant
Arrokuda,arrokuda
Barraskewda,barraskewda
Toxel,toxel
Toxtricity,toxtricity
Sizzlipede,sizzlipede
Centiskorch,centiskorch
Clobbopus,clobbopus
Grapploct,grapploct
Sinistea,sinistea
Polteageist,polteageist
Hatenna,hatenna
Hattrem,hattrem
Hatterene,hatterene
Impidimp,impidimp
Morgrem,morgrem
Grimmsnarl,grimmsnarl
Obstagoon,obstagoon
Perrserker,perrserker
Cursola,cursola
Sirfetch'd,sirfetchd
Mr. Rime,mr-rime
Runerigus,runerigus
Milcery,milcery
Alcremie,alcremie
Falinks,falinks
Pincurchin,pincurchin
Snom,snom
Frosmoth,frosmoth
Stonjourner,stonjourner
Eiscue,eiscue
Indeedee,indeedee
Morpeko,morpeko
Cufant,cufant
Copperajah,copperajah
Dracozolt,dracozolt
Arctozolt,arctozolt
Dracovish,dracovish
Arctovish,arctovish
Duraludon,duraludon
Dreepy,dreepy
Drakloak,drakloak
Dragapult,dragapult
Zacian,zacian
Zamazenta,zamazenta
Eternatus,eternatus
Kubfu,kubfu
Urshifu,urshifu
Zarude,zarude
Regieleki,regieleki
Regidrago,regidrago
Glastrier,glastrier
Spectrier,spectrier
Calyrex,calyrex
Wyrdeer,wyrdeer
Kleavor,kleavor
Ursaluna,ursaluna
Basculegion,basculegion
Sneasler,sneasler
Overqwil,overqwil
Enamorus,enamorus
Sprigatito,sprigatito
Floragato,floragato
Mewoscarada,meowscarada
Fuecoco,fuecoco
Crocalor,crocalor
Skeledirge,skeledirge
Quaxly,quaxly
Quaxwell,quaxwell
Quaquaval,quaquaval
Lechonk,lechonk
Oinkologne,oinkologne
Tarountula,tarountula
Spidops,spidops
Nymble,nymble
Lokix,lokix
Pawmi,pawmi
Pawmo,pawmo
Pawmot,pawmot
Tandemaus,tandemaus
Maushold,maushold
Fidough,fidough
Dachsbun,dachsbun
Smoliv,smoliv
Dolliv,dolliv
Arboliva,arboliva
Squawkabilly,squawkabilly
Nacli,nacli
Naclstack,naclstack
Garganacl,garganacl
Charcadet,charcadet
Armarouge,armarouge
Ceruledge,ceruledge
Tadbulb,tadbulb
Bellibolt,bellibolt
Wattrel,wattrel
Kilowattrel,kilowattrel
Maschiff,maschiff
Mabosstiff,mabosstiff
Shroodle,shroodle
Grafaiai,grafaiai
Bramblin,bramblin
Brambleghast,brambleghast
Toedscool,toedscool
Toedscruel,toedscruel
Klawf,klawf
Capsakid,capsakid
Scovillain,scovillain
Rellor,rellor
Rabsca,rabsca
Flittle,flittle
Espathra,espathra
Tinkatink,tinkatink
Tinkatuff,tinkatuff
Tinkaton,tinkaton
Wiglett,wiglett
Wugtrio,wugtrio
Bombirdier,bombirdier
Finizen,finizen
Palafin,palafin
Varoom,varoom
Revavroom,revavroom
Cyclizar,cyclizar
Orthworm,orthworm
Glimmet,glimmet
Glimmora,glimmora
Greavard,greavard
Houndstone,houndstone
Flamigo,flamigo
Cetoddle,cetoddle
Cetitan,cetitan
Veluza,veluza
Dondozo,dondozo
Tatsugiri,tatsugiri
Annihilape,annihilape
Clodsire,clodsire
Farigiraf,farigiraf
Dudunsparce,dudunsparce
Kingambit,kingambit
Great Tusk,great-tusk
Scream Tail,scream-tail
Brute Bonnet,brute-bonnet
Flutter Mane,flutter-mane
Slither Wing,slither-wing
Sandy Shocks,sandy-shocks
Iron Treads,iron-treads
Iron Bundle,iron-bundle
Iron Hands,iron-hands
Iron Jugulis,iron-Jugulis
Iron Moth,iron-moth
Iron Thorns,iron-thorns
Frigibax,frigibax
Arctibax,arctibax
Baxcalibur,baxcalibur
Gimmighoul,gimmighoul
Gholdengo,gholdengo
Wo-Chien,wo-chien
Chien-Pao,chien-pao
Ting-Lu,ting-lu
Chi-Yu,chi-yu
Roaring Moon,roaring moon
Iron Valiant,iron valiant
Koraidon,koraidon
Miraidon,miraidon
Walking Wake,walking-wake
Iron Leaves,iron-leaves
Dipplin,dipplin
Poltchageist,poltchageist
Sinistcha,sinistcha
Okidogi,okidogi
Munkidori,munkidori
Fezandipiti,fezandipiti
Ogerpon,ogerpon
Archaludon,archaludon
Hydrapple,hydrapple
Gouging Fire,gouging-fire
Raging Bolt,raging-bolt
Iron Boulder,iron-boulder
Iron Crown,iron-crown
Terapagos,terapagos
Pecharunt,pecharunt
